run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,processid,13117,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,repetition,18,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,replication,#18,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,runnumber,18,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,seedset,18,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,datetime,20200428-16:53:01,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,measurement,,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,network,Network,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,processid,13122,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,repetition,19,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,replication,#19,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,runnumber,19,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,runattr,,,seedset,19,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-19-20200428-16:53:01-13122,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,datetime,20200428-16:52:57,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,measurement,,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,network,Network,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,processid,13037,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,repetition,2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,replication,#2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,runnumber,2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,runattr,,,seedset,2,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-2-20200428-16:52:57-13037,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,datetime,20200428-16:52:57,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,measurement,,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,network,Network,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,processid,13032,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,repetition,1,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,replication,#1,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,runnumber,1,,,
n48lambda4H2K3mu2-1-20200428-16:52:57-13032,runattr,,,seedset,1,,,
